cluster_id,lab_l,lab_a,lab_b,r,g,b,hex_color,hue_angle,n_products
131,75.12,20.56,2.58,0.8779,0.6725,0.7096,#dfabb4,7.1,92
132,84.66,14.18,9.01,0.9592,0.7907,0.7646,#f4c9c2,32.4,31
133,81.62,8.03,2.8,0.8645,0.7752,0.776,#dcc5c5,19.2,75
134,77.11,9.61,1.94,0.8235,0.7229,0.7339,#d1b8bb,11.4,43
135,80.49,10.29,-3.01,0.8506,0.759,0.8062,#d8c1cd,343.7,44
136,79.11,29.77,-3.54,0.968,0.6901,0.7977,#f6afcb,353.2,9
137,83.16,19.75,-3.65,0.9461,0.763,0.8414,#f1c2d6,349.5,28
138,69.54,41.99,-19.2,0.8943,0.5544,0.8058,#e48dcd,335.4,10
139,63.38,54.82,-10.98,0.921,0.4346,0.6843,#ea6eae,348.7,5
140,57.22,46.69,-20.57,0.78,0.409,0.6829,#c668ae,336.2,31
141,61.63,3.33,-10.91,0.5697,0.5793,0.6588,#9193a7,287.0,19
142,64.35,10.23,-3.81,0.673,0.5889,0.6393,#ab96a3,339.6,32
143,66.08,8.99,-8.2,0.6683,0.6111,0.6877,#aa9baf,317.7,73
144,51.85,10.94,-7.16,0.5378,0.4619,0.5334,#897588,326.8,12
145,57.74,10.87,-8.71,0.5928,0.5214,0.6041,#97849a,321.3,40
146,50.97,14.83,-18.24,0.5177,0.4473,0.5981,#847298,309.1,7
147,54.14,6.09,-14.63,0.5,0.4985,0.6061,#7f7f9a,292.6,12
148,65.53,16.74,62.66,0.8344,0.5715,0.1443,#d49124,75.0,11
149,76.47,14.8,44.17,0.9348,0.6933,0.4194,#eeb06a,71.5,8
150,72.37,24.91,36.62,0.9367,0.6228,0.4381,#ee9e6f,55.8,11
151,72.11,12.43,26.58,0.8431,0.6566,0.5057,#d6a780,64.9,21
152,83.36,-1.42,52.75,0.9248,0.8067,0.4162,#ebcd6a,91.5,10
153,75.46,5.68,58.61,0.8842,0.7041,0.2871,#e1b349,84.5,17
154,83.26,9.31,28.08,0.9531,0.7835,0.6086,#f3c79b,71.7,36
155,81.15,7.88,18.64,0.8996,0.7665,0.6559,#e5c3a7,67.1,30
156,72.33,3.92,15.19,0.7667,0.6825,0.5881,#c3ae95,75.5,68
157,73.83,4.48,22.93,0.8041,0.6954,0.548,#cdb18b,78.9,36
158,61.66,37.31,63.27,0.8981,0.4678,0.1078,#e5771b,59.5,15
159,52.9,41.79,49.77,0.8058,0.3632,0.1561,#cd5c27,50.0,5
160,50.44,9.73,37.06,0.6007,0.4415,0.2198,#997038,75.3,11
161,52.52,24.67,33.29,0.7009,0.4217,0.2711,#b26b45,53.5,18
162,52.76,23.89,51.49,0.7145,0.4241,0.1274,#b66c20,65.1,2
163,45.95,20.58,39.22,0.6106,0.369,0.1658,#9b5e2a,62.3,9
164,47.57,-3.71,18.47,0.464,0.4461,0.3203,#767151,101.4,5
165,44.45,3.1,21.5,0.4796,0.4011,0.2725,#7a6645,81.8,16
166,64.4,0.37,0.07,0.6151,0.6114,0.6117,#9c9b9b,10.7,21
167,53.62,0.47,-0.22,0.5049,0.5014,0.5038,#807f80,335.0,21
168,59.13,0.94,3.36,0.575,0.5551,0.5352,#928d88,74.4,40
169,63.3,11.21,9.27,0.7031,0.572,0.5384,#b39189,39.6,28
170,58.26,10.58,11.3,0.6497,0.5218,0.4738,#a58578,46.9,18
171,62.33,4.16,7.99,0.6432,0.5793,0.5363,#a49388,62.5,18
172,67.23,6.9,3.27,0.7012,0.6248,0.6197,#b29f9e,25.4,9
173,56.22,4.56,10.6,0.5884,0.5157,0.4575,#968374,66.7,12
174,51.72,7.6,17.0,0.5737,0.4624,0.3712,#92755e,65.9,15
175,60.11,4.79,17.58,0.6459,0.553,0.4481,#a48d72,74.8,84
176,64.22,12.48,24.06,0.7506,0.5749,0.4449,#bf9271,62.6,4
177,65.87,4.97,21.05,0.7161,0.6111,0.4811,#b69b7a,76.7,67
178,78.98,2.56,-7.46,0.7601,0.763,0.8209,#c1c2d1,289.0,140
179,79.79,-1.59,-11.42,0.7188,0.7826,0.8579,#b7c7da,262.1,63
180,74.46,-0.26,-8.35,0.6855,0.7212,0.7776,#aeb7c6,268.2,28
181,84.59,0.9,-1.77,0.8288,0.8263,0.8408,#d3d2d6,297.1,197
182,79.69,0.57,1.04,0.7823,0.7728,0.7668,#c7c5c3,61.4,84
183,91.22,0.62,-0.11,0.9057,0.8997,0.902,#e6e5e6,349.6,658
184,85.27,1.48,-6.85,0.8222,0.8339,0.8857,#d1d4e1,282.2,61
185,92.77,1.62,-2.81,0.9214,0.9154,0.9396,#eae9ef,299.9,107
186,84.21,-3.91,0.34,0.7938,0.8326,0.8206,#cad4d1,175.0,44
187,93.6,-0.24,-2.79,0.9157,0.9292,0.9485,#e9ecf1,265.1,46
188,84.47,-2.63,-4.94,0.7873,0.8341,0.8622,#c8d4db,242.0,121
189,72.82,-1.05,7.5,0.7164,0.7011,0.6472,#b6b2a5,97.9,18
190,70.08,-0.09,1.17,0.6748,0.6716,0.6633,#acaba9,94.5,94
191,74.68,0.77,1.08,0.7299,0.7184,0.7128,#bab7b5,54.6,232
192,75.79,-6.02,-5.15,0.665,0.7473,0.7684,#a9bec3,220.5,97
193,79.73,-11.9,-6.82,0.6477,0.8029,0.8226,#a5ccd1,209.8,9
194,85.86,-6.56,-2.76,0.7781,0.8577,0.8612,#c6dadb,202.8,36
195,85.12,-0.73,20.28,0.8879,0.8302,0.6842,#e2d3ae,92.1,30
196,82.5,-5.3,16.09,0.8143,0.8129,0.6865,#cfcfaf,108.2,19
197,91.64,-4.04,15.23,0.923,0.9113,0.7915,#ebe8c9,104.9,12
198,83.01,1.03,9.51,0.8483,0.8055,0.7411,#d8cdbc,83.8,328
199,89.1,-0.01,4.48,0.8926,0.8764,0.8443,#e3dfd7,90.1,224
200,86.41,1.45,8.2,0.8853,0.8421,0.7876,#e1d6c8,80.0,292
201,87.63,-21.23,9.39,0.7168,0.9051,0.7889,#b6e6c9,156.2,2
202,90.58,-11.48,2.33,0.8076,0.9195,0.875,#cdeadf,168.5,15
203,71.46,-12.39,0.71,0.589,0.7125,0.6796,#96b5ad,176.7,15
204,73.34,-7.87,0.67,0.6464,0.7233,0.7003,#a4b8b2,175.1,36
205,75.44,-12.12,15.08,0.683,0.7512,0.6185,#aebf9d,128.8,5
206,81.82,-10.89,4.9,0.7272,0.8205,0.7603,#b9d1c1,155.8,25
207,68.54,-54.95,36.76,0.2407,0.7452,0.3809,#3dbe61,146.2,7
208,58.11,-38.54,0.41,0.0617,0.616,0.5404,#0f9d89,179.4,15
209,65.92,-39.76,-1.18,0.1542,0.7016,0.6316,#27b2a1,181.7,18
210,61.49,-2.83,16.36,0.6075,0.5844,0.4689,#9a9577,99.8,10
211,60.71,-7.13,26.47,0.5922,0.5836,0.3896,#979463,105.1,25
212,74.26,-7.85,27.47,0.734,0.727,0.517,#bbb983,105.9,27
213,66.06,-3.27,12.54,0.6428,0.6336,0.5415,#a3a18a,104.6,72
214,71.3,-3.56,15.22,0.7034,0.6887,0.576,#b3af92,103.1,80
215,76.33,-12.86,49.42,0.7627,0.7564,0.3681,#c2c05d,104.6,33
216,85.78,-12.09,47.73,0.8721,0.858,0.4789,#deda7a,104.2,17
217,79.32,-20.83,48.04,0.7369,0.8051,0.4076,#bbcd67,113.4,12
218,89.8,-21.12,28.3,0.805,0.925,0.6702,#cdebaa,126.7,26
219,83.82,-11.95,25.22,0.8031,0.84,0.6318,#ccd6a1,115.4,9
220,86.76,-6.97,26.09,0.8752,0.8614,0.6572,#dfdba7,105.0,110
