cluster_id,n_products,lab_l,lab_a,lab_b,hex_color,hue_angle,freq_pct,freq_deviation_pp,n_discounted,freq_z,freq_pval,freq_testable,depth_pct,depth_deviation_pp,n_discounted_depth,depth_t,depth_pval,depth_testable,r,g,b,freq_significant,depth_significant
39,5,33.89,13.38,26.91,#6e4625,63.6,,,,,,False,,,2,,,False,0.4333,0.2775,0.1453,False,False
40,1,34.15,1.02,21.42,#5d4e2e,87.3,,,,,,False,,,0,,,False,0.3648,0.3088,0.1809,False,False
41,16,23.28,0.28,15.68,#3f361f,89.0,43.75,-7.5589892400237275,7.0,-0.6049264773313634,0.5452278495215914,True,,,7,,,False,0.2502,0.2142,0.1254,False,False
42,43,19.94,10.53,6.35,#412a27,31.1,9.30232558139535,-42.006663658628376,4.0,-5.511011186301713,3.567780452193497e-08,True,,,4,,,False,0.2581,0.1656,0.1542,True,False
43,10,25.49,16.04,16.29,#593224,45.4,,,,,,False,,,7,,,False,0.3502,0.1973,0.1431,False,False
44,35,23.0,9.7,11.32,#493126,49.4,17.142857142857142,-34.16613209716658,6.0,-4.043977337755668,5.2552001145905766e-05,True,,,6,,,False,0.2897,0.1927,0.1508,True,False
45,15,55.07,67.65,46.58,#f43e37,34.6,33.33333333333333,-17.975655906690395,5.0,-1.3928657230333679,0.16366039937769283,True,,,5,,,False,0.9574,0.2441,0.2159,False,False
46,84,48.63,67.48,45.08,#de272b,33.7,30.952380952380953,-20.356608287642775,26.0,-3.7327073176650996,0.00018943266643309684,True,36.05598229290089,-6.233862177232751,26,-2.99345795304957,0.006133803821492235,True,0.8732,0.155,0.1692,True,True
47,47,39.27,54.03,31.88,#af272c,30.5,40.42553191489361,-10.883457325130113,19.0,-1.4927761335677014,0.13549579663856626,True,30.47657605552343,-11.813268414610214,19,-3.829675298571493,0.001227471236085471,True,0.6883,0.1535,0.1726,False,True
48,125,42.91,64.05,39.91,#c71927,31.9,18.4,-32.90898924002373,23.0,-7.361196746216322,1.822686883167721e-13,True,40.99845297610811,-1.2913914940255324,23,-0.6817491866191797,0.5025122198321026,True,0.7828,0.1009,0.1544,True,False
49,38,50.38,44.64,26.12,#c4544e,30.3,39.473684210526315,-11.835305029497412,15.0,-1.459654696697171,0.14438499862544732,True,42.60555555555556,0.31571108542191695,15,0.1447438871619904,0.8869761864682176,True,0.7716,0.3296,0.306,False,False
50,5,46.83,68.73,33.65,#d81c3b,26.1,,,,,,False,,,0,,,False,0.8501,0.1122,0.2323,False,False
51,12,45.42,52.47,23.05,#be3c48,23.7,,,,,,False,,,7,,,False,0.7481,0.2388,0.2828,False,False
52,5,44.42,36.47,28.56,#a94d3b,38.1,,,,,,False,,,2,,,False,0.664,0.303,0.2334,False,False
53,19,43.61,22.24,26.75,#94573b,50.3,100.0,48.69101075997627,19.0,4.246239302800143,2.173884494960907e-05,True,49.21052631578948,6.920681845655835,19,3.532724601884394,0.0023774826110430094,True,0.5818,0.3436,0.2341,True,True
54,5,36.42,37.65,26.79,#93382c,35.4,,,,,,False,,,1,,,False,0.5767,0.2199,0.1753,False,False
55,10,35.92,35.23,34.95,#90391d,44.8,,,,,,False,,,4,,,False,0.5651,0.224,0.1146,False,False
56,30,33.75,46.29,22.28,#94252e,25.7,46.666666666666664,-4.6423225733570606,14.0,-0.5087153203509299,0.6109517821494672,True,48.777147222525365,6.48730275239172,14,2.087934549938319,0.057047355976923245,True,0.5821,0.1466,0.1837,False,False
57,3,26.81,40.08,33.27,#7a1b0d,39.7,,,,,,False,,,1,,,False,0.4816,0.1072,0.052,False,False
58,17,29.81,44.64,25.67,#871c21,29.9,41.17647058823529,-10.132518651788436,7.0,-0.8358353750909034,0.4032475224971116,True,,,7,,,False,0.5318,0.1111,0.1296,False,False
59,14,37.89,56.73,-8.48,#a32268,351.5,100.0,48.69101075997627,14.0,3.6449509059795746,0.00026744285021083387,True,42.857142857142854,0.5672983870092096,14,0.11668807137615159,0.90889066526714,True,0.6421,0.1339,0.4096,True,False
60,14,39.89,62.01,-0.75,#b21961,359.3,92.85714285714286,41.548153617119134,13.0,3.1102451521294054,0.0018693212652217334,True,60.139194139194146,17.8493496690605,13,5.62963161585889,0.00011079929038649768,True,0.7019,0.1011,0.3821,True,True
61,32,35.89,34.57,11.9,#8a3a43,19.0,43.75,-7.5589892400237275,14.0,-0.8554952284805948,0.3922770448344297,True,26.70222634508349,-15.587618125050156,14,-4.37065669248345,0.0007575487092819121,True,0.542,0.2312,0.2628,False,True
62,18,33.14,53.8,1.18,#96154e,1.3,88.88888888888889,37.57989964886516,16.0,3.1898535454473147,0.0014234490984878128,True,49.041361192570875,6.7515167224372306,16,2.16777060326823,0.04667401015014925,True,0.5885,0.0849,0.3061,True,False
63,12,26.38,46.78,-1.04,#7a0f41,358.7,,,,,,False,,,7,,,False,0.479,0.0589,0.257,False,False
64,45,50.72,45.81,-21.85,#b2589e,334.5,66.66666666666666,15.357677426642935,30.0,2.0611551016271017,0.03928824538640139,True,38.26587301587301,-4.023971454260632,30,-1.3475213673482793,0.18824668951912066,True,0.699,0.3464,0.6228,False,False
65,18,47.12,67.6,-5.95,#cd287b,355.0,100.0,48.69101075997627,18.0,4.132985844969226,3.580807871457937e-05,True,49.14862914862914,6.858784678495496,18,1.7332801589461004,0.10114424853818722,True,0.8068,0.1603,0.486,True,False
66,12,51.82,68.01,8.94,#e1366f,7.5,,,,,,False,34.80952380952381,-7.480320660609834,10,-1.40172735418388,0.1945286127089621,True,0.8861,0.213,0.4369,False,False
67,32,14.6,-7.36,-5.18,#12282b,215.1,50.0,-1.308989240023728,16.0,-0.148146003839162,0.8822275441619657,True,39.54220779220779,-2.747636677925854,16,-1.106839886327323,0.2857981583307969,True,0.0716,0.1572,0.172,False,False
68,67,19.0,-10.36,-6.51,#113237,212.1,46.26865671641791,-5.040332523605818,31.0,-0.8254209083074745,0.4091326686055464,True,34.55329751641065,-7.736546953722993,31,-4.020461931598072,0.000360953983961852,True,0.0688,0.1989,0.2167,False,True
69,27,27.16,-12.09,-15.42,#044657,231.9,88.88888888888889,37.57989964886516,24.0,3.9067567702768753,9.354323132324391e-05,True,51.2037037037037,8.913859233570058,24,4.840167942335903,6.93634957958981e-05,True,0.017,0.2761,0.3424,True,True
70,1,22.91,-5.81,-20.66,#023a55,254.3,,,,,,False,,,1,,,False,0.0092,0.2303,0.3341,False,False
71,23,34.25,-17.74,-11.55,#0e5962,213.1,26.08695652173913,-25.2220327182846,6.0,-2.4200418595120348,0.0155187205677729,True,,,6,,,False,0.0567,0.349,0.3855,True,False
72,19,20.18,-16.74,-0.47,#093730,181.6,47.368421052631575,-3.9405681873921514,9.0,-0.3436485554829059,0.7311106040930173,True,,,9,,,False,0.0385,0.2163,0.192,False,False
73,14,30.11,-11.84,-2.72,#2d4c4a,192.9,42.857142857142854,-8.451846382880873,6.0,-0.6326951248217801,0.5269327541065865,True,,,6,,,False,0.1779,0.2992,0.2932,False,False
74,66,23.76,-11.34,-4.57,#1d3d3f,202.0,37.878787878787875,-13.430201361235849,25.0,-2.182897619454658,0.0290433503942623,True,32.00054752265278,-10.289296947480864,25,-4.378706530325883,0.00020163932431108112,True,0.1154,0.2415,0.2472,False,True
75,18,52.94,-1.24,-35.91,#4782bb,268.0,72.22222222222221,20.913232982198494,13.0,1.7751550961644493,0.07587228177272524,True,55.40903540903541,13.119190938901767,13,4.831005791045114,0.0004112815068486579,True,0.2811,0.5104,0.7364,False,True
76,33,39.33,11.95,-48.56,#245bac,283.8,27.27272727272727,-24.036261967296458,9.0,-2.762503099211006,0.005736001720656762,True,,,9,,,False,0.1418,0.3569,0.6753,True,False
77,18,46.44,-0.39,-24.22,#517096,269.1,61.111111111111114,9.802121871087389,11.0,0.8320227966425394,0.4053960770629943,True,66.54545454545456,24.255610075320917,11,10.071115553714387,1.4895338951744622e-06,True,0.3188,0.4398,0.5894,False,True
78,10,46.24,11.66,-44.29,#496bb7,284.8,,,,,,False,,,0,,,False,0.2863,0.4206,0.7213,False,False
79,17,45.92,2.26,-43.37,#236fb5,273.0,11.76470588235294,-39.544283357670786,2.0,-3.2620231996440308,0.0011062009002385225,True,,,2,,,False,0.1384,0.4376,0.7111,True,False
80,56,43.76,12.34,-30.06,#5f6399,292.3,51.78571428571429,0.4767250456905625,29.0,0.07137413498186401,0.9430999943918084,True,40.827586206896555,-1.4622582632370893,29,-0.5127362600610506,0.6121573732903264,True,0.3726,0.3884,0.601,False,False
81,4,38.06,43.34,-43.71,#783ea1,314.8,,,,,,False,,,4,,,False,0.4735,0.2449,0.6323,False,False
82,7,47.37,36.64,-30.51,#9459a4,320.2,,,,,,False,,,2,,,False,0.5809,0.3529,0.6439,False,False
83,14,18.51,21.8,-36.31,#282462,301.0,64.28571428571429,12.976725045690563,9.0,0.9714221367287282,0.33133810947867137,True,,,9,,,False,0.1604,0.142,0.386,False,False
84,27,24.18,23.2,-41.01,#313077,299.5,59.25925925925925,7.9502700192355285,16.0,0.8264995785883003,0.40852075701624224,True,60.68181818181819,18.391973711684543,16,9.214249421660108,1.4502399534960356e-07,True,0.1955,0.1888,0.4704,False,True
85,69,32.95,22.61,-43.39,#434492,297.5,76.81159420289855,25.50260496287482,53.0,4.238263600925887,2.2525519961851385e-05,True,49.552560646900275,7.262716176766631,53,3.181710802466116,0.002470354300217524,True,0.2647,0.269,0.5751,True,True
86,27,26.64,10.84,-38.29,#1a3d79,285.8,40.74074074074074,-10.568248499282989,11.0,-1.0986611662170591,0.27191588718209825,True,41.7216354055266,-0.5682090646070463,11,-0.11357840285203098,0.9118198977412113,True,0.1029,0.2394,0.4778,False,False
87,46,33.44,1.35,-19.89,#3b4f6d,273.9,69.56521739130434,18.256228151280617,32.0,2.4772443451608557,0.013240122455592121,True,29.28125,-13.008594470133644,32,-4.751340845367822,4.375315010396918e-05,True,0.2352,0.3117,0.4309,True,True
88,17,30.51,0.18,-14.15,#3a485d,270.7,58.82352941176471,7.51454017174098,10.0,0.6198773196409734,0.5353385588225392,True,38.38502673796791,-3.904817732165732,10,-0.6591257286348972,0.5263180751234326,True,0.2293,0.2852,0.3672,False,False
89,42,26.54,7.79,-20.85,#383c5e,290.5,78.57142857142857,27.262439331404842,33.0,3.534827561947099,0.0004080413441746071,True,53.56946084218811,11.279616372054463,33,4.257097348967033,0.00016920068495204408,True,0.2197,0.2369,0.3706,True,True
90,36,33.18,11.03,-25.09,#484a75,293.7,33.33333333333333,-17.975655906690395,12.0,-2.1578182995245547,0.030941961545273382,True,34.96212121212121,-7.327723258012433,12,-1.6856352754165453,0.1199896364096916,True,0.2851,0.2907,0.4614,False,False
91,24,68.73,6.84,-28.51,#96a6da,283.5,0.0,-51.30898924002373,0.0,-5.028957385887513,4.931539644719338e-07,True,,,0,,,False,0.5916,0.6512,0.8586,True,False
92,33,66.93,14.89,-19.73,#ad9bc6,307.0,57.57575757575758,6.266768335733852,19.0,0.7202437289565525,0.4713749441932683,True,35.38011695906433,-6.909727511069313,19,-1.930056913133582,0.0695115592473755,True,0.6785,0.6092,0.7779,False,False
93,33,62.32,16.03,-25.23,#9c8fc3,302.4,63.63636363636363,12.327374396339907,21.0,1.4167930945900635,0.15654342923385797,True,33.39380196523054,-8.896042504903107,21,-3.028209161643086,0.006640100962460856,True,0.6156,0.5609,0.7662,False,True
94,81,60.03,-2.52,-15.51,#7b93ab,260.8,55.55555555555556,4.24656631553183,45.0,0.7646440180011983,0.4444835501753416,True,41.23955057288391,-1.0502938972497375,45,-0.4643251912287618,0.6447041260626707,True,0.4854,0.5772,0.6729,False,False
95,8,60.53,21.74,-43.02,#8c88dd,296.8,,,,,,False,,,0,,,False,0.5528,0.5357,0.8705,False,False
96,5,61.01,4.08,-31.94,#7693cb,277.3,,,,,,False,,,3,,,False,0.4635,0.5789,0.7972,False,False
97,32,73.95,-3.62,-27.02,#8dbae6,262.4,81.25,29.941010759976272,26.0,3.388600119368002,0.0007025037727124618,True,37.494505494505496,-4.795338975628148,26,-1.507064204034272,0.1443274561523636,True,0.5562,0.7296,0.9052,True,False
98,11,64.2,-5.41,-30.2,#67a1d0,259.8,,,,,,False,,,5,,,False,0.4077,0.6316,0.8194,False,False
99,41,65.33,-1.92,-17.39,#88a1bd,263.7,87.8048780487805,36.49588880875676,36.0,4.675356679210848,2.934431531486222e-06,True,50.09259259259259,7.802748122458944,36,2.743948937182317,0.009510223808936494,True,0.5358,0.6314,0.7425,True,True
100,7,69.4,-6.79,-15.96,#89aec5,246.9,,,,,,False,,,5,,,False,0.5409,0.684,0.776,False,False
101,12,62.85,-14.85,-11.89,#69a0ac,218.7,,,,,,False,,,3,,,False,0.4155,0.6298,0.6766,False,False
102,24,66.51,-9.69,-2.94,#8ba7a6,196.9,95.83333333333334,44.52434409330961,23.0,4.363972715041986,1.2772151437904706e-05,True,49.88628762541806,7.596443155284419,23,2.963383746722513,0.007177619819898633,True,0.5462,0.6555,0.6534,True,True
103,42,60.12,-8.61,-0.3,#7f9591,182.0,88.09523809523809,36.78624885521437,37.0,4.769677605637646,1.8452099395805095e-06,True,39.55440055440055,-2.735443915733093,37,-1.0405541496830046,0.30502074213220765,True,0.5008,0.5861,0.569,True,False
104,17,48.2,-7.94,-1.66,#617674,191.8,47.05882352941176,-4.250165710611964,8.0,-0.35059781018027786,0.7258900996091269,True,,,8,,,False,0.3836,0.4648,0.4585,False,False
105,8,48.5,-0.74,-3.23,#6f7378,257.0,,,,,,False,,,3,,,False,0.4357,0.454,0.4726,False,False
106,3,53.96,-12.92,-15.5,#51889b,230.2,,,,,,False,,,0,,,False,0.3212,0.5357,0.6083,False,False
107,7,43.98,-18.93,-18.54,#0b7186,224.4,,,,,,False,,,7,,,False,0.0435,0.447,0.5256,False,False
108,17,39.23,-33.49,12.78,#146946,159.1,17.647058823529413,-33.661930416494314,3.0,-2.776785634733405,0.005489937351629712,True,,,3,,,False,0.0785,0.4135,0.2767,True,False
109,2,33.16,-24.35,-2.02,#035850,184.7,,,,,,False,,,0,,,False,0.0154,0.3456,0.3158,False,False
110,7,42.48,-26.23,-1.31,#206f65,182.9,,,,,,False,,,3,,,False,0.126,0.4385,0.3987,False,False
111,6,49.28,-16.53,9.45,#5c7c64,150.2,,,,,,False,,,2,,,False,0.3647,0.4886,0.3947,False,False
112,4,53.08,-7.6,20.61,#7f815b,110.3,,,,,,False,,,4,,,False,0.4982,0.508,0.357,False,False
113,10,52.37,-6.97,8.17,#76806e,130.5,,,,,,False,47.83333333333333,5.543488863199684,10,1.6198990246072436,0.13970592091261427,True,0.4645,0.5021,0.4344,False,False
114,11,56.86,-43.07,18.16,#2b9a67,157.1,,,,,,False,,,3,,,False,0.1725,0.6057,0.405,False,False
115,17,47.87,-38.03,12.27,#17815b,162.1,47.05882352941176,-4.250165710611964,8.0,-0.35059781018027786,0.7258900996091269,True,,,8,,,False,0.0931,0.5064,0.3598,False,False
116,29,54.58,60.17,28.47,#e54b55,25.3,48.275862068965516,-3.033127171058209,14.0,-0.32678980091995163,0.7438268739865268,True,47.33673469387755,5.046890223743908,14,2.3060371406632223,0.038228084162523185,True,0.9018,0.2946,0.3337,False,False
117,8,58.19,67.31,5.04,#f34c85,4.3,,,,,,False,,,8,,,False,0.9552,0.3013,0.5251,False,False
118,7,61.92,59.61,16.07,#f8627c,15.1,,,,,,False,,,3,,,False,0.9758,0.3844,0.4872,False,False
119,15,57.39,46.76,13.7,#d86574,16.3,46.666666666666664,-4.6423225733570606,7.0,-0.35971605271362944,0.7190594862179136,True,,,7,,,False,0.8504,0.3965,0.4557,False,False
120,11,70.57,31.2,29.64,#f09578,43.5,,,,,,False,,,8,,,False,0.9424,0.5859,0.4725,False,False
121,45,64.7,49.31,21.07,#f57579,23.1,28.888888888888886,-22.420100351134842,13.0,-3.009003440687227,0.002621061475536589,True,44.7008547008547,2.411010230721054,13,0.7676271674449276,0.4575477660112481,True,0.9613,0.4606,0.4784,True,False
122,28,62.73,51.73,31.61,#f56c62,31.4,50.0,-1.308989240023728,14.0,-0.13857789739646026,0.8897837100872075,True,31.608946608946603,-10.680897861187042,14,-3.050208373218327,0.009296250126313594,True,0.9624,0.4264,0.3871,False,True
123,67,68.72,22.54,2.11,#d098a4,5.3,53.73134328358209,2.4223540435583613,36.0,0.39669241374690606,0.6915942951197024,True,34.11937445270778,-8.170470017425863,36,-2.984074353086563,0.005158012154704839,True,0.818,0.5998,0.6457,False,True
124,7,58.73,20.57,1.65,#b1808b,4.6,,,,,,False,,,2,,,False,0.6951,0.5029,0.5455,False,False
125,36,71.33,38.34,0.4,#f093af,0.6,66.66666666666666,15.357677426642935,24.0,1.8435531677634747,0.06524828650072276,True,45.874138673557276,3.5842942034236316,24,1.4546166980624409,0.15928777063370161,True,0.9417,0.5784,0.6875,False,False
126,53,64.62,37.03,11.59,#df8189,17.4,35.84905660377358,-15.459932636250146,19.0,-2.2517719627299453,0.024336686340914706,True,46.985645933014354,4.695801462880709,19,1.3011668691754144,0.20961124500579417,True,0.878,0.509,0.5402,True,False
127,60,70.66,39.82,15.13,#f78f93,20.8,78.33333333333333,27.024344093309605,47.0,4.188028828591498,2.8138777995516518e-05,True,48.05197639240193,5.7621319222682885,47,2.830510031944365,0.006868514177348575,True,0.9709,0.5616,0.5778,True,True
128,4,77.88,20.67,18.49,#f1b19f,41.8,,,,,,False,,,3,,,False,0.9458,0.6973,0.6249,False,False
129,33,75.75,24.61,10.33,#eca9a8,22.8,87.87878787878788,36.56979863876415,29.0,4.202990557124109,2.6341158133223527e-05,True,40.710815047021946,-1.5790294231116988,29,-0.5285032543823684,0.6013145246368343,True,0.9293,0.6655,0.6619,True,False
130,16,74.06,31.04,6.92,#f0a0aa,12.6,62.5,11.191010759976272,10.0,0.8955878229016476,0.3704729416879571,True,38.8,-3.4898444701336473,10,-0.913473088476141,0.38481159729477776,True,0.9427,0.629,0.6692,False,False
131,92,75.12,20.56,2.58,#dfabb4,7.1,60.86956521739131,9.56057597736758,56.0,1.8346652963860182,0.06655529728469865,True,35.59476849778574,-6.695075972347901,56,-3.429676717790649,0.0011526692710666956,True,0.8779,0.6725,0.7096,False,True
132,31,84.66,14.18,9.01,#f4c9c2,32.4,54.83870967741935,3.5297204373956226,17.0,0.39318779808607085,0.6941807812076202,True,44.839572192513366,2.5497277223797212,17,0.6448556650769229,0.528159344245616,True,0.9592,0.7907,0.7646,False,False
133,75,81.62,8.03,2.8,#dcc5c5,19.2,53.333333333333336,2.0243440933096046,40.0,0.3507469004176424,0.725778236616911,True,44.3951587622611,2.105314292127453,40,0.9966866745737534,0.3250606843525096,True,0.8645,0.7752,0.776,False,False
134,43,77.11,9.61,1.94,#d1b8bb,11.4,76.74418604651163,25.4351968064879,33.0,3.3369385215992526,0.0008470668297621136,True,31.44380546888384,-10.846039001249803,33,-4.480897578524928,8.91905225507081e-05,True,0.8235,0.7229,0.7339,True,True
135,44,80.49,10.29,-3.01,#d8c1cd,343.7,86.36363636363636,35.05464712361264,38.0,4.652118977237934,3.2854141862044597e-06,True,46.83028083028082,4.540436360147176,38,2.380190923190059,0.022568399259125113,True,0.8506,0.759,0.8062,True,False
136,9,79.11,29.77,-3.54,#f6afcb,353.2,,,,,,False,,,5,,,False,0.968,0.6901,0.7977,False,False
