cluster_id,lab_l,lab_a,lab_b,r,g,b,hex_color,hue_angle,n_products
105,39.56,3.27,-7.82,0.3625,0.3607,0.4151,#5c5b69,292.7,37
106,43.08,0.86,-0.49,0.4033,0.3973,0.4021,#666566,330.6,53
107,35.37,1.47,0.59,0.3374,0.3231,0.3226,#565252,22.0,49
108,28.81,0.64,0.66,0.2722,0.2649,0.2624,#454342,45.6,180
109,30.2,1.94,-3.38,0.2814,0.2759,0.2994,#47464c,299.8,142
110,41.83,24.87,-23.31,0.4741,0.3339,0.5383,#785589,316.9,18
111,38.06,43.36,-43.74,0.4735,0.2448,0.6325,#783ea1,314.8,6
112,31.02,30.19,-27.81,0.3828,0.2186,0.4583,#613774,317.3,8
113,25.56,12.29,-28.12,0.2052,0.2215,0.4051,#343867,293.6,44
114,25.29,9.91,-35.48,0.1105,0.2282,0.447,#1c3a71,285.6,139
115,22.7,20.39,-37.96,0.1782,0.1821,0.4369,#2d2e6f,298.2,37
116,20.16,8.89,-30.55,0.0947,0.1842,0.3672,#182e5d,286.2,45
117,30.63,2.97,-12.25,0.2607,0.2802,0.357,#42475b,283.6,25
118,30.64,0.13,-18.6,0.2053,0.288,0.3956,#344964,270.4,41
119,25.06,1.69,-19.06,0.1647,0.2355,0.3453,#2a3c58,275.1,39
120,24.07,-5.07,-20.76,0.0452,0.2393,0.3457,#0b3d58,256.3,25
121,17.51,-2.23,-13.52,0.0946,0.1758,0.2438,#182c3e,260.6,22
122,23.33,-4.38,-8.83,0.154,0.2279,0.2688,#273a44,243.6,18
123,35.09,24.99,-46.28,0.2877,0.2835,0.6162,#49489d,298.4,33
124,29.41,21.96,-43.27,0.2212,0.2392,0.5377,#383d89,296.9,45
125,30.99,18.97,-51.05,0.0953,0.2662,0.6033,#184399,290.4,12
126,31.29,9.26,-38.18,0.1422,0.2838,0.5241,#244885,283.6,87
127,32.74,-3.74,-8.66,0.2438,0.3112,0.3545,#3e4f5a,246.6,28
128,37.32,-6.13,-12.45,0.2462,0.3594,0.4217,#3e5b6b,243.8,21
129,37.91,-0.23,-19.66,0.265,0.3562,0.4734,#435a78,269.3,121
130,35.13,-3.51,-29.73,0.0901,0.3402,0.5091,#165681,263.3,20
131,36.02,10.17,-45.87,0.0974,0.3289,0.6225,#18539e,282.5,104
132,51.1,-37.45,3.95,0.0137,0.5404,0.4468,#038971,174.0,9
133,51.96,-39.33,11.62,0.1176,0.5503,0.4031,#1d8c66,163.5,42
134,52.24,-44.75,22.38,0.1035,0.5588,0.3309,#1a8e54,153.4,27
135,46.17,-37.37,13.5,0.0981,0.4879,0.3355,#197c55,160.1,71
136,64.29,-45.66,10.04,0.127,0.6903,0.5354,#20b088,167.6,4
137,62.72,-40.59,-0.24,0.0687,0.6682,0.5918,#11aa96,180.3,30
