cluster_id,n_products,lab_l,lab_a,lab_b,hex_color,hue_angle,freq_pct,freq_deviation_pp,n_discounted,freq_z,freq_pval,freq_testable,depth_pct,depth_deviation_pp,n_discounted_depth,depth_t,depth_pval,depth_testable,r,g,b,freq_significant,depth_significant
55,54,35.51,48.33,33.68,#9d2620,34.9,35.18518518518518,-12.676232963270406,19.0,-1.8647246137139282,0.0622200148427417,True,45.637932758675795,5.268087845335124,19,2.4195631490534084,0.02634603361974029,True,0.6188,0.15,0.1263,False,False
56,55,32.19,47.59,21.46,#911e2c,24.3,52.72727272727272,4.86585457881713,29.0,0.7223839390595492,0.47005845862799767,True,38.142567371776295,-2.2272775415643764,29,-0.7385152834487961,0.4663470290461541,True,0.5694,0.1189,0.176,False,False
57,116,37.18,56.66,29.49,#ab192b,27.5,29.310344827586203,-18.55107332086939,34.0,-3.9996836986061775,6.342719861833193e-05,True,35.66305774379197,-4.706787169548704,34,-2.0973369310610805,0.04370527820651545,True,0.6735,0.0995,0.1713,True,False
58,88,20.78,5.99,-13.55,#302f45,293.8,63.63636363636363,15.774945487908044,56.0,2.9623530409755214,0.0030529750908187088,True,38.10487528344671,-2.2649696298939617,56,-1.04796327220948,0.2992390267832818,True,0.189,0.1882,0.2739,True,False
59,150,14.33,2.29,-13.49,#1b2437,279.6,50.0,2.1385818515444077,75.0,0.5243232523641779,0.6000537267901828,True,42.79968253968253,2.4298376263418575,75,1.3919408278771075,0.16810985512414842,True,0.1074,0.1419,0.216,False,False
60,185,17.71,3.8,-16.93,#212a43,282.6,29.18918918918919,-18.672228959266402,54.0,-5.084047970823037,3.694745579804236e-07,True,39.421098989812435,-0.9487459235282358,54,-0.5435468874176814,0.5890324182178489,True,0.1297,0.168,0.2653,True,False
61,227,12.43,5.36,-12.7,#1d1e31,292.9,41.409691629955944,-6.451726518499646,94.0,-1.9458819514384809,0.05166892144187663,True,44.43961901330487,4.069774099964199,94,2.836033974960748,0.005605171306327007,True,0.1176,0.1206,0.1954,False,True
62,145,10.72,2.16,-10.11,#171c2a,282.0,32.41379310344827,-15.447625045007317,47.0,-3.7236884010146865,0.00019633322408215128,True,39.10003536963223,-1.2698095437084405,47,-0.6009467258479708,0.5508253344933132,True,0.0931,0.1123,0.1669,True,False
63,80,22.08,3.75,-5.7,#36333d,303.4,63.74999999999999,15.888581851544403,51.0,2.8448393110168158,0.004443383246288195,True,41.845798508337204,1.4759535949965326,51,0.6923357659834236,0.4919294687580539,True,0.2138,0.2014,0.2403,True,False
64,127,20.31,3.58,-1.37,#352f33,339.0,54.330708661417326,6.469290512961734,69.0,1.4594396001345613,0.14444415336802438,True,39.82476661824488,-0.5450782950957915,69,-0.2825947851017659,0.7783458956367123,True,0.2096,0.1856,0.2002,False,False
65,44,23.46,1.21,-5.1,#35373f,283.4,25.0,-22.86141814845559,11.0,-3.035687881415993,0.0023998765198133044,True,34.51436442345533,-5.855480489885338,11,-1.6209104570786337,0.13610394772136827,True,0.2115,0.218,0.2487,True,False
66,167,24.8,1.32,-0.46,#3c3a3b,340.8,38.32335329341318,-9.538064855042416,64.0,-2.4674372575347276,0.01360840677486076,True,32.82038128964706,-7.549463623693612,64,-4.917065533861699,6.600071820324949e-06,True,0.2376,0.2283,0.2335,True,True
67,510,18.86,0.55,0.14,#2e2d2d,14.3,46.27450980392157,-1.5869083445340215,236.0,-0.7174052380804578,0.47312408849050225,True,39.38719853014759,-0.9826463831930781,236,-1.096400816168246,0.27402568106078573,True,0.1834,0.1788,0.179,False,False
68,134,9.86,3.14,-4.66,#1c1a21,304.0,45.52238805970149,-2.3390300887541016,61.0,-0.5420206330998607,0.5878042920220046,True,41.43453631978222,1.064691406441547,61,0.5342069643975095,0.5951722628666509,True,0.1118,0.1022,0.1312,False,False
69,164,14.43,2.8,-2.47,#262327,318.6,42.68292682926829,-5.178491319187301,70.0,-1.327555810938264,0.1843248908763937,True,39.68081841304965,-0.6890265002910212,70,-0.44196148009883685,0.6598992093605698,True,0.1527,0.1386,0.1567,False,False
70,573,14.11,3.98,-6.64,#24222d,300.9,47.4694589877836,-0.3919591606719952,272.0,-0.18782168891012838,0.8510164330486034,True,38.171078461625214,-2.198766451715457,272,-2.4018489356829753,0.01698589966270248,True,0.145,0.1349,0.1768,False,False
71,1494,8.8,0.62,0.86,#1a1817,54.4,40.29451137884873,-7.566906769606863,602.0,-5.854924421380581,4.7722698870959176e-09,True,38.71283723384242,-1.6570076794982498,602,-2.79021147637163,0.005434502661686165,True,0.1037,0.0972,0.094,True,True
72,468,5.97,1.29,0.09,#151213,4.0,55.769230769230774,7.907812620775179,261.0,3.4245767822088524,0.0006157578186319232,True,42.99582875867528,2.625983845334609,261,2.8492768908213635,0.004732591599344347,True,0.0835,0.0727,0.0748,True,True
73,56,15.37,-1.07,1.77,#252623,121.3,21.428571428571427,-26.43284671988416,12.0,-3.959729895906734,7.503458124633981e-05,True,41.43689643689644,1.0670515235557687,12,0.2753315717066224,0.7881647107411917,True,0.1489,0.1523,0.141,True,False
74,657,10.28,1.18,-0.82,#1d1b1d,325.2,39.5738203957382,-8.28759775271739,260.0,-4.252447496174963,2.1144680064516477e-05,True,40.17465189226302,-0.19519302107764958,260,-0.2260096674366069,0.8213721526208846,True,0.1144,0.1081,0.1143,True,False
75,943,9.91,2.04,1.32,#1e1a19,32.9,39.660657476139974,-8.200760672315615,374.0,-5.041242577996894,4.6251872172692e-07,True,40.57228860709607,0.2024436937553986,374,0.27989607735701866,0.779712388974178,True,0.121,0.1032,0.1003,True,False
76,2338,13.49,1.41,0.71,#252121,26.6,45.295124037639006,-2.566294110816586,1059.0,-2.4840268862651,0.012990599953105883,True,39.34240581674531,-1.0274390965953586,1059,-2.4221036647099696,0.015598149559524151,True,0.1452,0.1328,0.1318,True,False
77,20,24.99,20.72,2.62,#592e38,7.2,45.0,-2.8614181484555914,9.0,-0.25616744496275373,0.7978215452483796,True,,,9,,,False,0.3497,0.1823,0.2198,False,False
78,26,16.44,15.32,-1.86,#3c202b,353.1,26.923076923076923,-20.93834122537867,7.0,-2.1372560666825047,0.032577170071675,True,,,7,,,False,0.2356,0.1264,0.1715,False,False
79,32,18.09,14.12,-9.82,#39253a,325.2,12.5,-35.36141814845559,4.0,-4.004352254057546,6.218764253243108e-05,True,,,4,,,False,0.2267,0.1458,0.2295,True,False
80,33,17.78,11.28,5.45,#3d2524,25.8,18.181818181818183,-29.67959996663741,6.0,-3.413049794506784,0.00064240203196447,True,,,6,,,False,0.2406,0.146,0.1417,True,False
81,49,20.62,10.6,7.16,#432b27,34.1,40.816326530612244,-7.0450916178433465,20.0,-0.9872162529632903,0.32353663571743796,True,24.633876811594206,-15.735968101746465,20,-5.209797655855353,4.986571787359398e-05,True,0.2659,0.171,0.1552,False,True
82,33,16.69,6.6,1.69,#332527,14.4,24.242424242424242,-23.61899390603135,8.0,-2.7161013756268093,0.00660556881657922,True,,,8,,,False,0.2015,0.1485,0.153,True,False
83,14,23.73,4.44,3.9,#413632,41.3,21.428571428571427,-26.43284671988416,3.0,-1.979864947953367,0.047718706008712836,True,,,3,,,False,0.2566,0.2119,0.1993,False,False
84,86,22.3,16.77,14.09,#512a21,40.0,13.953488372093023,-33.907929776362565,12.0,-6.294744573711438,3.0790644869539026e-10,True,38.46085858585859,-1.9089863274820829,12,-0.507851464790514,0.6215859721959583,True,0.3197,0.168,0.1302,True,False
85,15,24.3,8.31,15.05,#4c3423,61.1,6.666666666666667,-41.19475148178893,1.0,-3.1938545055270904,0.00140386851676314,True,,,1,,,False,0.2999,0.2064,0.1391,True,False
86,32,29.85,10.89,9.2,#5b3f38,40.2,40.625,-7.236418148455592,13.0,-0.8194571609774836,0.41252563375723794,True,37.76873281517244,-2.6011120981682296,13,-0.7613758789972568,0.46113388490228946,True,0.3581,0.2502,0.2217,False,False
87,21,28.26,33.84,6.39,#72293a,10.7,14.285714285714285,-33.57570386274131,3.0,-3.0800827505739714,0.0020694308935969978,True,,,3,,,False,0.45,0.1627,0.2284,True,False
88,22,30.57,37.81,16.67,#802930,23.8,22.727272727272727,-25.134145421182865,5.0,-2.3599514869270037,0.018277325075090847,True,,,5,,,False,0.5037,0.1634,0.1884,True,False
89,12,20.27,38.79,20.07,#650915,27.4,,,,,,False,43.22222222222222,2.8523773088815503,10,0.4869284776462092,0.6379480370041154,True,0.3971,0.0392,0.0855,False,False
90,178,20.33,26.7,8.19,#561e26,17.1,65.1685393258427,17.30712117738711,116.0,4.622345958559547,3.7942454476694765e-06,True,35.40848382798179,-4.961361085358881,116,-3.5207086436949417,0.0006179341470601058,True,0.3381,0.1186,0.1497,True,True
91,17,12.89,24.84,9.62,#410f15,21.2,0.0,-47.86141814845559,0.0,-3.9503687303102617,7.80308856601006e-05,True,,,0,,,False,0.2576,0.059,0.083,True,False
92,39,44.97,5.2,-32.57,#4c6aa0,279.1,38.46153846153847,-9.399879686917128,15.0,-1.1751199784982096,0.23994671881268315,True,57.096296296296295,16.726451382955624,15,3.559478665363624,0.0031412418940493644,True,0.3014,0.4173,0.6295,False,True
93,176,42.63,13.26,-51.29,#2b62b9,284.5,57.95454545454546,10.093127306089865,102.0,2.6804622573911248,0.0073520554832265635,True,36.683762316115256,-3.6860825972254148,102,-2.629604451596744,0.009884773059940276,True,0.172,0.3864,0.7291,True,True
94,15,49.95,11.61,-50.76,#4175cd,282.9,93.33333333333333,45.471915184877744,14.0,3.5254656470587036,0.0004227390014282301,True,33.08730158730158,-7.2825433260390895,14,-1.7580237860127923,0.10224807637188384,True,0.2573,0.4601,0.8056,True,False
95,50,45.99,5.35,-47.54,#1f6ebc,276.4,44.0,-3.8614181484555923,22.0,-0.5465871872598451,0.584662373618378,True,35.37337662337663,-4.996468289964042,22,-1.3427460803275417,0.19368898889780536,True,0.1253,0.434,0.7401,False,False
96,6,50.27,32.34,-50.04,#7c67cd,302.9,,,,,,False,,,2,,,False,0.4897,0.4071,0.8057,False,False
97,39,41.73,26.23,-50.45,#5657b6,297.5,97.43589743589743,49.57447928744184,38.0,6.197521986946278,5.735902810375784e-10,True,51.69590643274854,11.326061519407865,38,6.603338686347108,9.625876534085108e-08,True,0.3396,0.344,0.7146,True,True
98,62,38.61,10.53,-24.83,#555783,293.0,41.935483870967744,-5.9259342774878485,26.0,-0.9340718559248772,0.3502668284749988,True,38.62278106508875,-1.7470638482519192,26,-0.6405908792928336,0.5276171451331588,True,0.335,0.3418,0.5141,False,False
99,11,46.95,2.32,-18.52,#616f8e,277.1,,,,,,False,,,0,,,False,0.3813,0.4371,0.5575,False,False
100,33,45.61,15.61,-32.49,#6765a2,295.7,45.45454545454545,-2.406872693910139,15.0,-0.27678190954689924,0.7819475727981912,True,35.01587301587302,-5.353971897467652,15,-1.4782199315451026,0.1614923078452659,True,0.4049,0.3993,0.6365,False,False
101,20,40.27,10.44,-2.7,#6e5963,345.5,20.0,-27.86141814845559,4.0,-2.4942835789243034,0.012621166638184118,True,,,4,,,False,0.4317,0.3499,0.3904,True,False
102,5,30.71,13.02,-13.75,#52425d,313.4,,,,,,False,,,3,,,False,0.3236,0.2593,0.3678,False,False
103,53,34.7,4.7,-6.09,#544f5b,307.6,58.490566037735846,10.629147889280254,31.0,1.5490448632488099,0.12137093576503882,True,56.66185506460649,16.29201015126582,31,8.049177893934276,5.517411582326633e-09,True,0.3323,0.3119,0.3579,False,True
104,152,28.45,4.43,-5.95,#45414c,306.6,55.92105263157895,8.059634483123357,85.0,1.9891372562810576,0.046686055072894285,True,39.7793939240306,-0.5904509893100709,85,-0.3613021756307241,0.7187807278474142,True,0.2737,0.2558,0.299,False,False
105,37,39.56,3.27,-7.82,#5c5b69,292.7,72.97297297297297,25.11155482451738,27.0,3.05775072000357,0.0022300500185755577,True,40.32921810699589,-0.04062680634478255,27,-0.015509604707924642,0.9877440260521819,True,0.3625,0.3607,0.4151,True,False
106,53,43.08,0.86,-0.49,#666566,330.6,54.71698113207547,6.855562983619878,29.0,0.9990993384488654,0.31774657160356623,True,38.025693035835026,-2.344151877505645,29,-1.0813605053496433,0.2887626538581906,True,0.4033,0.3973,0.4021,False,False
107,49,35.37,1.47,0.59,#565252,22.0,38.775510204081634,-9.085907944373961,19.0,-1.2731922425105506,0.20294983265896005,True,43.218878600779085,2.849033687438414,19,0.9690745271720616,0.3453501358510297,True,0.3374,0.3231,0.3226,False,False
108,180,28.81,0.64,0.66,#454342,45.6,40.0,-7.86141814845559,72.0,-2.1113720152651902,0.03474034849808605,True,35.399913969578705,-4.969930943761966,72,-3.1289950887933977,0.0025446954964096573,True,0.2722,0.2649,0.2624,False,True
109,142,30.2,1.94,-3.38,#47464c,299.8,47.183098591549296,-0.6783195569062983,67.0,-0.16181028477144624,0.8714552537034148,True,39.442911492955396,-0.926933420385275,67,-0.5292256387605283,0.5984244956356738,True,0.2814,0.2759,0.2994,False,False
110,18,41.83,24.87,-23.31,#785589,316.9,16.666666666666664,-31.19475148178893,3.0,-2.649386957978708,0.008063794366520155,True,,,3,,,False,0.4741,0.3339,0.5383,True,False
111,6,38.06,43.36,-43.74,#783ea1,314.8,,,,,,False,,,4,,,False,0.4735,0.2448,0.6325,False,False
112,8,31.02,30.19,-27.81,#613774,317.3,,,,,,False,,,2,,,False,0.3828,0.2186,0.4583,False,False
113,44,25.56,12.29,-28.12,#343867,293.6,31.818181818181817,-16.043236330273775,14.0,-2.130325327599809,0.03314476393027734,True,61.54061624649859,21.170771333157916,14,7.568889918060871,4.0791121657369555e-06,True,0.2052,0.2215,0.4051,False,True
114,139,25.29,9.91,-35.48,#1c3a71,285.6,44.60431654676259,-3.257101601693002,62.0,-0.768716702970996,0.442061507040453,True,35.16281539119694,-5.207029522143728,62,-2.734270416345759,0.008172058861076678,True,0.1105,0.2282,0.447,False,True
115,37,22.7,20.39,-37.96,#2d2e6f,298.2,45.94594594594595,-1.9154722025096438,17.0,-0.23324069526161864,0.8155745068819716,True,53.99541634835752,13.625571435016852,17,12.309096151472083,1.4221198983015492e-09,True,0.1782,0.1821,0.4369,False,True
116,45,20.16,8.89,-30.55,#182e5d,286.2,17.77777777777778,-30.083640370677813,8.0,-4.0398408529146606,5.348748316707233e-05,True,,,8,,,False,0.0947,0.1842,0.3672,True,False
117,25,30.63,2.97,-12.25,#42475b,283.6,28.000000000000004,-19.86141814845559,7.0,-1.9879610480857735,0.046815998100073426,True,,,7,,,False,0.2607,0.2802,0.357,False,False
