cluster_id,lab_l,lab_a,lab_b,r,g,b,hex_color,hue_angle,n_products
326,73.25,-0.12,12.1,0.7406,0.7024,0.619,#bcb39d,90.6,158
327,76.03,3.16,21.76,0.8172,0.7222,0.5788,#d0b893,81.7,132
328,78.89,1.19,15.26,0.8197,0.759,0.6555,#d1c1a7,85.5,164
329,84.6,-7.93,12.24,0.8059,0.8428,0.7369,#cdd6bb,122.9,60
330,83.32,-4.87,13.9,0.8203,0.8215,0.7114,#d1d1b5,109.3,87
331,88.58,-3.0,3.84,0.8612,0.8777,0.8429,#dbdfd6,128.0,65
332,77.83,-4.33,6.5,0.7424,0.7624,0.7069,#bdc2b4,123.7,202
333,81.89,-4.05,5.93,0.7866,0.806,0.7546,#c8cdc0,124.4,169
334,80.84,-0.9,9.35,0.8097,0.7865,0.7188,#cec8b7,95.5,52
335,79.19,0.92,4.67,0.7912,0.7656,0.7354,#c9c3bb,78.8,418
336,82.8,2.23,6.55,0.8462,0.8012,0.7608,#d7ccc1,71.2,185
337,85.77,0.18,4.51,0.8573,0.8391,0.8076,#dad5cd,87.7,449
338,90.64,-1.41,10.25,0.9172,0.8953,0.8182,#e9e4d0,97.8,175
339,86.47,-0.0,19.54,0.9065,0.8435,0.7043,#e7d7b3,90.0,26
340,87.59,1.22,10.8,0.9044,0.8551,0.7813,#e6dac7,83.6,558
341,80.92,-18.38,33.72,0.7433,0.82,0.5365,#bdd188,118.6,34
342,74.07,-23.1,28.94,0.6205,0.7553,0.5014,#9ec07f,128.6,12
343,73.9,-14.03,32.3,0.6962,0.7352,0.4764,#b1bb79,113.5,23
344,85.8,-33.15,74.42,0.7583,0.8972,0.2181,#c1e437,114.0,7
345,79.93,-21.31,67.35,0.7692,0.8105,0.2368,#c4ce3c,107.6,25
346,80.12,-33.22,57.57,0.6676,0.8359,0.3307,#aad554,120.0,10
347,89.22,-25.52,52.31,0.8203,0.9233,0.4737,#d1eb78,116.0,45
348,91.26,-6.61,22.94,0.9203,0.9111,0.7289,#eae8b9,106.1,33
349,85.21,-9.16,28.31,0.847,0.8486,0.6237,#d7d89f,107.9,57
350,92.81,-16.63,32.54,0.8858,0.9487,0.6706,#e1f1ab,117.1,39
351,91.44,-10.22,11.16,0.8594,0.924,0.8188,#dbebd0,132.5,49
