cluster_id,lab_l,lab_a,lab_b,r,g,b,hex_color,hue_angle,n_products
392,56.6,30.96,16.48,0.7599,0.446,0.4261,#c1716c,28.0,35
393,51.33,7.5,15.65,0.5665,0.4591,0.3765,#907560,64.4,13
394,57.36,5.32,20.18,0.6251,0.5234,0.4034,#9f8566,75.2,11
395,52.28,5.76,22.0,0.5774,0.4713,0.3424,#937857,75.3,34
396,48.93,2.86,4.99,0.4892,0.4484,0.4233,#7c726b,60.2,28
397,48.61,3.12,12.21,0.5048,0.4431,0.3728,#80705f,75.6,21
398,51.34,-0.16,18.62,0.525,0.4758,0.3553,#85795a,90.5,24
399,52.4,-0.75,9.38,0.5113,0.4894,0.4275,#827c6d,94.6,57
400,59.0,5.69,1.31,0.6007,0.5435,0.5484,#998a8b,12.9,41
401,60.54,2.06,-0.3,0.5864,0.5679,0.5746,#959092,351.8,107
402,64.37,5.73,2.68,0.661,0.598,0.594,#a89897,25.0,44
403,66.01,1.32,2.6,0.6468,0.6252,0.6109,#a49f9b,63.1,172
404,58.16,5.1,10.51,0.6119,0.5341,0.4774,#9c8879,64.1,52
405,56.85,2.32,4.06,0.5632,0.5287,0.5076,#8f8681,60.3,91
406,53.53,5.43,4.19,0.5506,0.4884,0.4741,#8c7c78,37.7,48
407,50.08,24.88,-22.73,0.5607,0.4132,0.6197,#8e699e,317.6,8
408,47.8,14.58,-25.38,0.4544,0.4198,0.6125,#736b9c,299.9,33
409,44.22,7.0,-11.59,0.42,0.3981,0.4852,#6b657b,301.1,15
410,44.72,11.73,-20.52,0.4237,0.3951,0.5486,#6c648b,299.7,54
411,39.6,11.71,-21.31,0.3702,0.3468,0.5017,#5e587f,298.8,47
412,48.36,4.31,-18.37,0.4123,0.4466,0.5712,#697191,283.2,114
413,43.51,4.58,-19.21,0.3629,0.3992,0.5271,#5c6586,283.4,89
414,67.55,8.18,-18.65,0.6378,0.632,0.7764,#a2a1c5,293.7,101
415,68.62,7.14,-12.83,0.6645,0.6436,0.747,#a9a4be,299.1,54
416,64.45,10.95,-11.98,0.6523,0.5907,0.6969,#a696b1,312.4,23
417,62.99,9.71,-6.35,0.647,0.5769,0.6425,#a493a3,326.8,27
418,61.05,21.37,-26.58,0.6366,0.5344,0.7623,#a288c2,308.8,11
419,58.6,5.39,-13.05,0.5462,0.5444,0.6418,#8b8aa3,292.4,51
420,61.13,8.53,-19.04,0.5718,0.565,0.7099,#9190b5,294.1,55
421,55.07,6.96,-22.85,0.4797,0.5088,0.6714,#7a81ab,286.9,41
422,54.56,10.38,-19.49,0.5167,0.4943,0.6436,#837ea4,298.0,100
423,51.9,24.37,0.18,0.6411,0.4242,0.4872,#a36c7c,0.4,100
424,52.23,25.8,-10.5,0.6271,0.4268,0.5612,#9f6c8f,337.8,21
425,54.09,8.79,-5.61,0.5508,0.4888,0.5455,#8c7c8b,327.4,32
426,56.34,10.34,-12.59,0.5614,0.5099,0.6157,#8f829d,309.4,54
427,52.3,2.83,-2.88,0.5,0.4838,0.5086,#7f7b81,314.4,48
428,50.79,7.5,-12.14,0.4864,0.4611,0.5552,#7c758d,301.7,52
