cluster_id,lab_l,lab_a,lab_b,r,g,b,hex_color,hue_angle,n_products
45,53.46,-11.6,-18.47,0.3096,0.5292,0.6231,#4e869e,237.9,13
46,49.32,-11.87,-29.81,0.1163,0.4921,0.6558,#1d7da7,248.3,25
47,52.76,-12.99,-31.61,0.1052,0.5293,0.7044,#1a86b3,247.7,138
48,53.38,1.3,0.91,0.5119,0.4969,0.4939,#827e7d,35.2,234
49,58.71,-0.7,2.85,0.5576,0.5545,0.5343,#8e8d88,103.8,28
50,59.26,0.99,0.01,0.5665,0.5571,0.5593,#908e8e,0.9,250
51,50.78,0.66,-3.34,0.4679,0.4735,0.4962,#77787e,281.2,280
52,50.93,1.55,-8.86,0.4562,0.4747,0.5342,#747988,279.9,47
53,56.26,0.89,-3.66,0.5233,0.528,0.5536,#85868d,283.6,386
54,55.52,5.1,-3.0,0.548,0.5109,0.5421,#8b828a,329.5,57
55,57.54,3.09,-7.21,0.5401,0.5371,0.5909,#898896,293.2,31
56,48.16,-4.87,-6.47,0.3887,0.4598,0.49,#63757c,233.0,76
57,55.28,-6.85,-4.89,0.4488,0.5344,0.551,#72888c,215.5,16
58,54.11,-1.93,-2.98,0.4831,0.5121,0.5268,#7b8286,237.1,47
59,61.44,-9.55,-5.9,0.4831,0.6032,0.621,#7b999e,211.7,18
60,60.67,-0.6,-3.75,0.5566,0.5761,0.5992,#8d9298,260.9,110
61,63.62,-4.08,-9.23,0.5375,0.6155,0.6673,#899caa,246.2,26
62,65.54,-41.09,42.28,0.4077,0.6919,0.3103,#67b04f,134.2,2
63,75.79,-37.82,44.01,0.5528,0.7979,0.4,#8ccb65,130.7,24
64,82.21,-31.57,20.48,0.6052,0.8618,0.6469,#9adba4,147.0,6
65,76.55,-43.07,22.2,0.4285,0.8183,0.5734,#6dd092,152.7,15
66,81.96,-11.99,25.21,0.7823,0.8197,0.6123,#c7d19c,115.4,45
67,89.63,-11.76,22.36,0.8612,0.9046,0.7149,#dbe6b6,117.7,35
68,82.46,-8.38,16.63,0.7921,0.8193,0.6817,#c9d0ad,116.8,35
69,87.68,-26.1,44.69,0.7827,0.9083,0.5195,#c7e784,120.3,80
70,90.0,-34.18,64.98,0.7841,0.9471,0.3677,#c7f15d,117.7,36
71,82.07,-44.96,64.99,0.6036,0.877,0.2758,#99df46,124.7,17
72,78.68,2.03,74.17,0.9144,0.7457,0.1515,#e9be26,88.4,25
73,77.13,-0.35,54.89,0.862,0.7367,0.3347,#dbbb55,90.4,48
74,75.76,-24.5,56.93,0.6851,0.7724,0.2936,#aec44a,113.3,15
75,69.67,-9.17,40.62,0.7001,0.6789,0.3723,#b2ad5e,102.7,12
